序号,名称,描述,类型,长度
39,RunningCap,总运行电容无功(MVar),DOUBLE,4
40,RunningReac,总运行电抗无功(MVar),DOUBLE,4
41,LossP,总网损有功(MW),DOUBLE,4
42,LossQ,总网损无功(MVar),DOUBLE,4
43,LossRate,线损率(%),DOUBLE,4
44,BusOverLoadIndex,越限母线指标,DOUBLE,4
45,BusOverLoadNum,越限母线数,INTEGER,2
46,LineOverLoadIndex,越限线路指标,DOUBLE,4
47,LineOverLoadNum,越限线路数,INTEGER,2
48,LineLoadRate100,负载率大于80%线路数,INTEGER,2
49,LineLoadRate80,负载率(60~80]%线路数,INTEGER,2
50,LineLoadRate60,负载率(40~60]%线路数,INTEGER,2
51,LineLoadRate40,负载率(20~40]%线路数,INTEGER,2
52,LineLoadRate20,负载率小于等于20%线路数,INTEGER,2
53,LineLoadRate0,停运线路数,INTEGER,2
54,TranOverLoadIndex,越限主变指标,DOUBLE,4
55,TranOverLoadNum,越限主变数,INTEGER,2
56,TranLoadRate100,负载率大于80%主变数,INTEGER,2
57,TranLoadRate80,负载率(60~80]%主变数,INTEGER,2
58,TranLoadRate60,负载率(40~60]%主变数,INTEGER,2
59,TranLoadRate40,负载率(20~40]%主变数,INTEGER,2
60,TranLoadRate20,负载率小于等于20%主变数,INTEGER,2
61,TranLoadRate0,停运主变数,INTEGER,2
62,DeadIslandLoadP,死岛负荷有功,DOUBLE,4
63,DeadIslandLoadQ,死岛负荷无功,DOUBLE,4
64,ro_Customernum,系统用户总数,DOUBLE,8
65,ro_Aci,用户年停电次数(次/年),DOUBLE,8
66,ro_Cid,用户年停电时间(小时/年),DOUBLE,8
67,ro_Saifi,系统年均停电次数(次/户.年),DOUBLE,8
68,ro_Saidi,系统年均停电时间(小时/户.年),DOUBLE,8
69,ro_Asai,综合平均理论供电可用率,DOUBLE,8
70,ro_Ens,系统年均停电电量(MWh/年),DOUBLE,8
71,ro_AEns,用户年均停电电量(MWh/户.年),DOUBLE,8
72,ro_Mic,系统停电平均用户数(户/次),DOUBLE,8
73,ro_Mid,系统停电平均持续时间(小时/次),DOUBLE,8
74,ro_f_Aci,用户年故障停电次数(次/年),DOUBLE,8
75,ro_f_Cid,用户年故障停电时间(小时/年),DOUBLE,8
76,ro_f_Saifi,系统年均故障停电次数(次/户.年),DOUBLE,8
77,ro_f_Saidi,系统年均故障停电时间(小时/户.年),DOUBLE,8
78,ro_f_Asai,故障平均理论供电可用率,DOUBLE,8
79,ro_f_Ens,系统年均故障停电电量(MWh/年),DOUBLE,8
80,ro_f_AEns,用户年均故障停电电量(MWh/户.年),DOUBLE,8
81,ro_f_Mic,系统故障停电平均用户数(户/次),DOUBLE,8
82,ro_f_Mid,系统故障停电平均持续时间(小时/次),DOUBLE,8
83,ro_a_Aci,用户年预安排停电次数(次/年),DOUBLE,8
84,ro_a_Cid,用户年预安排停电时间(小时/年),DOUBLE,8
85,ro_a_Saifi,系统年均预安排停电次数(次/户.年),DOUBLE,8
86,ro_a_Saidi,系统年均预安排停电时间(小时/户.年),DOUBLE,8
87,ro_a_Asai,预安排平均理论供电可用率,DOUBLE,8
88,ro_a_Ens,系统年均预安排停电电量(MWh/年),DOUBLE,8
89,ro_a_AEns,用户年均预安排停电电量(MWh/户.年),DOUBLE,8
90,ro_a_Mic,系统预安排停电平均用户数(户/次),DOUBLE,8
91,ro_a_Mid,系统预安排停电平均持续时间(小时/次),DOUBLE,8
92,eo_EleSupply,"供电电量(含线损,万度/年)",DOUBLE,4
93,eo_EleCost,购电成本(万元/年),DOUBLE,4
94,eo_EleIncome,售电收益(万元/年),DOUBLE,4
95,eo_RCoef,最小回报系数,DOUBLE,4
96,eo_LossCost,线损成本(万元/年),DOUBLE,4
97,eo_ReliCost,可靠性成本(万元/年),DOUBLE,4
98,eo_FundCost,资金成本(万元/年),DOUBLE,4
99,eo_Income,(投产还贷期)年最小收入(万元/年),DOUBLE,4
100,eo_ReliEVCost,考虑产电比停电损失(万元/年),DOUBLE,4
101,eo_EVIncome,(投产还贷期)考虑产电比年最小收入(万元/年),DOUBLE,4
102,sa_LinePassRate,线路N-1通过率(%),DOUBLE,4
103,sa_LineLossPower,线路N-1损失负荷(MW),DOUBLE,4
104,sa_UnitPassRate,单元设备N-1通过率(%),DOUBLE,4
105,sa_UnitLossPower,单元设备N-1损失负荷(MW),DOUBLE,4
106,sa_CombPassRate,组合设备N-1通过率(%),DOUBLE,4
107,sa_CombLossPower,组合设备N-1损失负荷(MW),DOUBLE,4
